,name,author,stars,ratings,goodreads_score,goodreads_link,get_copy,page_count,published_date,amazon_link
56,Life of Pi,Yann Martel,3.93,1535429,523211,https://www.goodreads.com/book/show/4214.Life_of_Pi,https://www.goodreads.com/book/4214.Life_of_Pi/get_a_copy,460.0,"September 11, 2001",https://www.goodreads.com/book_link/follow/1?book_id=4214&source=compareprices
57,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.85,1440378,520370,https://www.goodreads.com/book/show/35031085-frankenstein,https://www.goodreads.com/book/35031085-frankenstein/get_a_copy,260.0,"January 1, 1818",https://www.goodreads.com/book_link/follow/1?book_id=35031085&source=compareprices
58,A Tale of Two Cities,Charles Dickens,3.86,903144,518821,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,https://www.goodreads.com/book/1953.A_Tale_of_Two_Cities/get_a_copy,489.0,"November 26, 1859",https://www.goodreads.com/book_link/follow/1?book_id=1953&source=compareprices
59,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13,1856671,511323,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://www.goodreads.com/book/38447.The_Handmaid_s_Tale/get_a_copy,314.0,"January 1, 1985",https://www.goodreads.com/book_link/follow/1?book_id=38447&source=compareprices
60,"The Giver (The Giver, #1)",Lois Lowry,4.13,2244949,506253,https://www.goodreads.com/book/show/3636.The_Giver,https://www.goodreads.com/book/3636.The_Giver/get_a_copy,208.0,"April 26, 1993",https://www.goodreads.com/book_link/follow/1?book_id=3636&source=compareprices
61,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3415968,503804,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,https://www.goodreads.com/book/136251.Harry_Potter_and_the_Deathly_Hallows/get_a_copy,759.0,"July 21, 2007",https://www.goodreads.com/book_link/follow/1?book_id=136251&source=compareprices
62,Lolita,Vladimir Nabokov,3.88,781407,501615,https://www.goodreads.com/book/show/7604.Lolita,https://www.goodreads.com/book/7604.Lolita/get_a_copy,331.0,"September 1, 1955",https://www.goodreads.com/book_link/follow/1?book_id=7604&source=compareprices
63,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,9117456,498664,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,https://www.goodreads.com/book/72193.Harry_Potter_and_the_Philosopher_s_Stone/get_a_copy,223.0,"June 26, 1997",https://www.goodreads.com/book_link/follow/1?book_id=72193&source=compareprices
64,Water for Elephants,Sara Gruen,4.1,1543540,488268,https://www.goodreads.com/book/show/43641.Water_for_Elephants,https://www.goodreads.com/book/43641.Water_for_Elephants/get_a_copy,368.0,"May 22, 2006",https://www.goodreads.com/book_link/follow/1?book_id=43641&source=compareprices
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,1286747,483074,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,https://www.goodreads.com/book/4981.Slaughterhouse_Five/get_a_copy,275.0,"March 31, 1969",https://www.goodreads.com/book_link/follow/1?book_id=4981&source=compareprices
